station_key,station_id,name,road_name,intersection,lga,suburb,post_code,device_type,wgs84_latitude,wgs84_longitude,poi_food_count_500m,poi_education_count_500m,poi_healthcare_count_500m,poi_public_transport_count_500m,poi_leisure_count_500m,poi_tourism_count_500m,poi_shop_count_500m,poi_data_missing,building_count_500m,building_density_per_km2_500m,building_data_missing,commercial_pct_500m,green_recreation_pct_500m,industrial_pct_500m,institutional_pct_500m,residential_pct_500m,transport_other_pct_500m,landuse_data_missing
57257,66249,Fairfield Street,Fairfield Street,Cockburn Crescent,Fairfield,Fairfield East,2165.0,Tirtl,-33.869324,150.963486,2,2,0,9,5,0,1,False,14,17.82535362629228,False,1.4215077311086264,0.1298592464486141,30.67526873530322,0.0,63.59067166360425,4.182692623535299,False
57052,50250,Hart Drive,Hart Drive,Mahony Road,Parramatta,Constitution Hill,2145.0,Excel Lpl,-33.797592,150.975433,0,1,0,9,5,0,0,False,0,0.0,True,0.0,0.0,0.0,0.0,100.0,0.0,False
56738,22001,Military Road,Military Road,Melrose Street,Mosman,Mosman,2088.0,Excel Lpl,-33.825577,151.233261,11,2,5,15,42,0,14,False,241,306.8507302811742,False,5.451136321462897,0.0125070172899964,0.183488073775467,0.0,94.23409513882356,0.1187734486480812,False
55393,02384,Cleveland Street,Cleveland Street,Woodburn Street,Sydney,Redfern,2016.0,Trafficorder Dual Tube Classifier,-33.888908,151.200851,126,10,8,36,87,53,116,False,805,1024.957833511806,False,18.981399439928943,2.6797119301616394,0.0,1.3034424149612545,45.42437337592397,31.61107283902419,False
99990011,7104-PR,Broughton Street,Broughton Street,Moore Street,Campbelltown,Campbelltown,2560.0,Tirtl,-34.066612,150.81958,0,0,0,0,0,0,0,True,0,0.0,True,0.0,0.0,0.0,0.0,100.0,0.0,False
57110,53029,Mona Vale Road,Mona Vale Road,Garrick Road,Ku-Ring-Gai,St Ives,2075.0,Excel Lpl,-33.725666,151.168045,0,5,0,11,178,0,0,False,443,564.0451183176771,False,0.0,2.5439240823073392,0.0,1.7020512444238054,95.28881047331366,0.4652141999552035,False
55383,02377,George Street,George Street,Little Regent Street,Sydney,Ultimo,2007.0,Trafficorder Loop Counter,-33.883865,151.202652,180,12,9,111,84,98,132,False,454,578.0507533097639,False,21.631316953057105,3.6139872017409687,0.7875750867866751,0.0111372527687463,5.160497101847766,68.79548640379873,False
15252030,7115,Canterbury Road,Canterbury Road,King Georges Road,Canterbury,Wiley Park,2195.0,Tirtl,-33.929409,151.072479,1,0,0,12,11,0,4,False,489,622.6141373754946,False,0.0784388909652288,0.0193212889849506,2.5543834950941307,0.0,97.3478563249557,0.0,False
57268,68025,Great Western Highway,Great Western Highway,Liverpool-Parramatta Transitway,Holroyd,South Wentworthville,2145.0,Tirtl,-33.816696,150.976623,5,1,1,23,9,0,13,False,25,31.830988618379067,False,2.040372382115176,0.1659406080812651,0.0,0.5306691565139133,97.26301785328964,0.0,False
56602,100001,Cambridge Street,Cambridge Street,Carre Avenue,Fairfield,Canley Heights,2166.0,Tirtl,-33.878181,150.924942,0,0,0,1,1,0,0,False,53,67.48169587096362,False,0.0,0.0,0.0,0.0,100.0,0.0,False
15286014,7168,Great Western Highway,Great Western Highway,Reservoir Road,Blacktown,Blacktown,2148.0,Tirtl,-33.798195,150.897125,0,0,0,4,9,0,3,False,15,19.09859317102744,False,6.65123648285898,6.501648182438009,22.499609600196848,0.0,64.34750573450616,0.0,False
57104,53003,Pacific Highway,Pacific Highway,Blytheswood Avenue,Ku-Ring-Gai,Warrawee,2074.0,Tirtl,-33.729225,151.122208,0,1,0,8,50,0,0,False,71,90.40000767619657,False,1.903715991042385,0.0,0.0,0.0,93.27354406715116,4.822739941806447,False
